CID,CO_MACSAUD,UF,CO_MUNICIP_R,NOME DO MUNICÍPIO,pop,MortPor100k,mortes_p_covid,A419,A419,J189,J189,J969,J969,J449,J449,J81X,J81X,tot2019,tot2020,dif20_19,%dif20_19,dif20_19_por100khab,tot2019_por100k,%dif20_19_por_mortes_covid
152,1509,PA,150034,Água Azul do Norte,27615,10.863661053775122,3.0,8.0,4.0,4.0,1.0,7.0,5.0,2.0,1.0,1.0,1.0,22.0,12.0,-10.0,-45.45454545454546,-36.21220351258374,79.66684772768423,-333.33333333333337
153,1509,PA,150125,Bannach,3262,61.31207847946045,2.0,5.0,4.0,0.0,1.0,1.0,6.0,1.0,1.0,1.0,2.0,8.0,14.0,6.0,75.0,183.93623543838135,245.2483139178418,300.0
154,1509,PA,150157,Bom Jesus do Tocantins,17118,35.05082369435682,6.0,8.0,9.0,3.0,3.0,5.0,4.0,1.0,3.0,2.0,2.0,19.0,21.0,2.0,10.526315789473696,11.68360789811894,110.99427503212993,33.33333333333333
155,1509,PA,150175,Brejo Grande do Araguaia,7368,27.14440825190011,2.0,1.0,2.0,2.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,7.0,6.0,-1.0,-14.28571428571429,-13.572204125950055,95.00542888165037,-50.0
156,1509,PA,150178,Breu Branco,67332,63.862650745559314,43.0,33.0,25.0,23.0,24.0,10.0,6.0,3.0,1.0,7.0,5.0,76.0,61.0,-15.0,-19.736842105263154,-22.277668864729993,112.8735222479653,-34.883720930232556
157,1509,PA,150215,Canaã dos Carajás,38103,133.847728525313,51.0,22.0,29.0,12.0,12.0,9.0,9.0,3.0,5.0,4.0,5.0,50.0,60.0,10.0,19.999999999999996,26.24465265202215,131.22326326011074,19.607843137254903
158,1509,PA,150270,Conceição do Araguaia,47991,85.4326852951595,41.0,40.0,23.0,24.0,12.0,18.0,14.0,13.0,9.0,14.0,18.0,109.0,76.0,-33.0,-30.27522935779816,-68.76289304244547,227.12591944322895,-80.48780487804879
159,1509,PA,150276,Cumaru do Norte,13761,43.60148245040331,6.0,4.0,2.0,2.0,5.0,7.0,5.0,0.0,0.0,1.0,0.0,14.0,12.0,-2.0,-14.28571428571429,-14.533827483467771,101.7367923842744,-33.33333333333333
160,1509,PA,150277,Curionópolis,17846,179.31189061974672,32.0,8.0,6.0,4.0,9.0,3.0,4.0,1.0,1.0,1.0,7.0,17.0,27.0,10.0,58.823529411764696,56.03496581867085,95.25944189174044,31.25
161,1509,PA,150293,Dom Eliseu,60469,31.42105872430502,19.0,18.0,21.0,8.0,18.0,8.0,8.0,4.0,3.0,12.0,12.0,50.0,62.0,12.0,24.0,19.844879194297903,82.68699664290794,63.1578947368421
