CO_MUNICIP,CO_MACSAUD
260820,2607
260845,2607
260850,2607
260870,2607
260890,2607
260900,2607
260910,2607
260920,2607
260940,2607
260950,2607
260960,2607
260970,2607
261000,2607
261050,2607
261060,2607
261070,2607
261130,2607
261140,2607
261150,2607
261160,2607
261180,2607
261190,2607
261210,2607
261290,2607
261340,2607
261370,2607
261380,2607
261420,2607
261450,2607
261485,2607
261530,2607
261550,2607
261618,2607
261630,2607
261640,2607
261650,2607
260030,2608
260050,2608
260060,2608
260080,2608
260100,2608
260130,2608
260170,2608
260190,2608
260210,2608
260230,2608
260240,2608
260260,2608
260310,2608
260320,2608
260330,2608
260350,2608
260370,2608
260380,2608
260410,2608
260470,2608
260500,2608
260580,2608
260600,2608
260640,2608
260650,2608
260670,2608
260750,2608
260800,2608
260825,2608
260830,2608
260840,2608
260860,2608
260880,2608
261010,2608
261020,2608
261030,2608
261090,2608
261120,2608
261170,2608
261200,2608
261230,2608
261240,2608
261250,2608
261270,2608
261300,2608
261310,2608
261320,2608
261330,2608
261470,2608
261500,2608
261510,2608
261540,2608
261620,2608
270010,2703
270030,2703
270070,2703
270080,2703
270090,2703
270120,2703
270150,2703
270160,2703
270180,2703
270200,2703
270235,2703
270240,2703
270250,2703
270255,2703
270260,2703
270290,2703
270310,2703
270330,2703
270340,2703
270370,2703
270410,2703
270420,2703
270440,2703
270460,2703
270480,2703
270500,2703
270530,2703
270540,2703
270570,2703
270580,2703
270590,2703
270600,2703
270610,2703
270620,2703
270630,2703
270640,2703
270642,2703
270710,2703
270720,2703
270800,2703
270840,2703
270880,2703
270895,2703
270900,2703
270910,2703
270920,2703
270020,2704
270040,2704
270050,2704
270060,2704
270100,2704
270110,2704
270130,2704
270135,2704
270140,2704
270170,2704
270190,2704
270210,2704
270220,2704
270230,2704
270270,2704
270280,2704
270300,2704
270320,2704
270350,2704
270360,2704
270375,2704
270380,2704
270390,2704
270400,2704
270430,2704
270450,2704
270470,2704
270490,2704
270510,2704
270520,2704
270550,2704
270560,2704
270644,2704
270650,2704
270660,2704
270670,2704
270680,2704
270690,2704
270700,2704
270730,2704
270740,2704
270750,2704
270760,2704
270770,2704
270780,2704
270790,2704
270810,2704
270820,2704
270830,2704
270850,2704
270860,2704
270870,2704
270890,2704
270915,2704
270930,2704
270940,2704
280010,2801
280020,2801
280030,2801
280040,2801
280050,2801
280060,2801
280067,2801
280070,2801
280100,2801
280110,2801
280120,2801
280130,2801
280140,2801
280150,2801
280160,2801
280170,2801
280190,2801
280200,2801
280210,2801
280220,2801
280230,2801
280240,2801
280250,2801
280260,2801
280270,2801
280280,2801
280290,2801
280300,2801
280310,2801
280320,2801
280330,2801
280340,2801
280350,2801
280360,2801
280370,2801
280380,2801
280390,2801
280400,2801
280410,2801
280420,2801
280430,2801
280440,2801
280445,2801
280450,2801
280460,2801
280470,2801
280480,2801
280490,2801
280500,2801
280510,2801
280520,2801
280530,2801
280540,2801
280550,2801
280560,2801
280570,2801
280580,2801
280590,2801
280600,2801
280610,2801
280620,2801
280630,2801
280640,2801
280650,2801
280660,2801
280670,2801
280680,2801
280690,2801
280700,2801
280710,2801
280720,2801
280730,2801
280740,2801
280750,2801
280760,2801
290060,2910
290090,2910
290195,2910
290225,2910
290240,2910
290310,2910
290330,2910
290370,2910
290430,2910
290470,2910
290540,2910
290560,2910
290580,2910
290630,2910
290800,2910
290950,2910
291000,2910
291100,2910
291120,2910
291150,2910
291210,2910
291270,2910
291290,2910
291345,2910
291360,2910
291390,2910
291420,2910
291430,2910
291480,2910
291490,2910
291510,2910
291520,2910
291540,2910
291550,2910
291570,2910
291620,2910
291660,2910
291670,2910
291690,2910
291730,2910
291760,2910
291800,2910
291830,2910
291855,2910
291870,2910
291905,2910
292040,2910
292050,2910
292070,2910
292090,2910
292260,2910
292275,2910
292280,2910
292390,2910
292467,2910
292490,2910
292780,2910
292790,2910
292805,2910
292935,2910
293120,2910
293160,2910
293220,2910
293230,2910
293250,2910
293270,2910
293290,2910
293350,2910
290050,2911
290120,2911
290200,2911
290280,2911
290290,2911
290350,2911
290395,2911
290410,2911
290420,2911
290460,2911
290480,2911
290500,2911
290515,2911
290520,2911
290660,2911
290670,2911
290689,2911
290710,2911
290755,2911
290870,2911
290880,2911
290900,2911
291010,2911
291040,2911
291090,2911
291165,2911
291170,2911
291200,2911
291220,2911
291230,2911
291250,2911
291340,2911
291350,2911
291580,2911
291640,2911
291680,2911
291710,2911
291720,2911
291733,2911
291740,2911
291860,2911
291875,2911
291940,2911
291950,2911
291970,2911
291980,2911
291995,2911
292000,2911
292020,2911
292030,2911
292105,2911
292145,2911
292180,2911
292270,2911
292340,2911
292360,2911
292450,2911
292470,2911
292500,2911
292510,2911
292540,2911
292570,2911
292640,2911
292665,2911
292670,2911
292680,2911
292690,2911
293000,2911
293100,2911
293105,2911
293180,2911
293260,2911
293330,2911
290140,2912
290250,2912
290270,2912
290320,2912
290390,2912
290440,2912
290450,2912
290475,2912
290610,2912
290740,2912
290810,2912
290910,2912
